Structure,Diameter (inches),Length (km),Metal,Plastic,Concrete,Residue,Chemicals,Hydrocarbon,Burial Status,Final Decommissioning Option
PL3006JAP6,6,0.025,1,1,0,1,0,1,0,FullRemoval
PL3006JAP6,6,0.057,1,1,0,1,0,1,0,FullRemoval
PL3007,10,0.005,1,1,0,1,0,1,0,FullRemoval
PL3007,8,0.352,1,1,0,1,0,1,0,FullRemoval
PL1326JW10,4,0.1,1,1,0,1,0,1,0,FullRemoval
PL1327JW12,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1328JW11,4,0.2,1,1,0,1,0,1,0,FullRemoval
PL1330JW10,2.5,0.1,1,1,0,1,0,1,0,FullRemoval
PL2569,2.5,0.1,1,1,0,1,0,1,0,FullRemoval
PL2571,2.5,0.1,1,1,0,1,0,1,0,FullRemoval
PL1978 (1 to 6),20,0.2,1,1,0,1,0,1,0,FullRemoval
PL1455A,12,0.5,1,1,0,1,0,1,0,FullRemoval
PL1450 (1.09),5,0.3,1,1,0,1,0,1,0,FullRemoval
PL1452 (1.17),7.5,0.3,1,1,0,1,0,1,0,FullRemoval
PL1453 (1.12),7.5,0.3,1,1,0,1,0,1,0,FullRemoval
PL2452,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1728,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1727,8,0.1,1,1,0,1,0,1,0,FullRemoval
PL2453,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1798B,12,0.3,1,1,0,1,0,1,0,FullRemoval
PL2524 (2.03),6,0.4,1,1,0,1,0,1,0,FullRemoval
PL947,12,0.048,1,1,0,1,0,1,0,FullRemoval
PL947,12,0.002,1,1,0,1,0,1,0,FullRemoval
PL947,8,0.046,1,1,0,1,0,1,0,FullRemoval
PL947,12,0.039,1,1,0,1,0,1,0,FullRemoval
PL2164,6,0.128,1,1,0,1,0,1,0,FullRemoval
PL2066JW12,8,0.035,1,1,0,1,0,1,0,FullRemoval
PL2066JWAB2,8,0.133,1,1,0,1,0,1,0,FullRemoval
PL1666,8,0.07,1,1,0,1,0,1,0,FullRemoval
PL1559,8,0.087,1,1,0,1,0,1,0,FullRemoval
PL1560,8,0.084,1,1,0,1,0,1,0,FullRemoval
PL2443JP1,6.625984252,0.05,1,1,0,1,0,1,0,FullRemoval
PL2443JP5,6.625984252,0.04,1,1,0,1,0,1,0,FullRemoval
PL2444JP2,6.625984252,0.04,1,1,0,1,0,1,0,FullRemoval
PL2444JP3,6.625984252,0.03,1,1,0,1,0,1,0,FullRemoval
PL2444JP4,6.625984252,0.04,1,1,0,1,0,1,0,FullRemoval
PL2445JP1,3.5,0.05,1,1,0,1,0,1,0,FullRemoval
PL2445JP2,3.5,0.05,1,1,0,1,0,1,0,FullRemoval
PL2445JP3,3.5,0.03,1,1,0,1,0,1,0,FullRemoval
PL2445JP4,3.5,0.05,1,1,0,1,0,1,0,FullRemoval
PL2445JP5,3.5,0.03,1,1,0,1,0,1,0,FullRemoval
PL2731,6.625984252,0.04,1,1,0,1,0,1,0,FullRemoval
PL2732,3.5,0.04,1,1,0,1,0,1,0,FullRemoval
PL3162,6.625984252,0.06,1,1,0,1,0,1,0,FullRemoval
PL3162JP7,3.5,0.05,1,1,0,1,0,1,0,FullRemoval
PL2799JPB1,6.625984252,0.05,1,1,0,1,0,1,0,FullRemoval
PL2800JPB1,3.5,0.05,1,1,0,1,0,1,0,FullRemoval
PL3707,6.625984252,0.11,1,1,0,1,0,1,0,FullRemoval
PL3708,3.5,0.11,1,1,0,1,0,1,0,FullRemoval
